"well","rate"
1,1417.9
2,1092.9
3,1149.1
4,997.5
5,1002
6,999.7
7,913.4
8,1091.1
9,1170.4
10,994.3
11,1006.4
12,1060.2
13,1044.3
14,1083.1
15,1291.3
16,1034.9
17,1124.4
18,1174
19,1384.8
20,1181.9
