"well","rate"
1,923.8
2,1007.6
3,969.4
4,960.7
5,870.2
6,995.3
7,812.2
8,927
9,1002
10,926.6
11,970.5
12,966.5
13,928
14,909.3
15,893.1
16,892.4
17,1031.2
18,1011.7
19,885.4
20,776.4
