"well","rate"
1,1154.6
2,1116.7
3,1113.5
4,1183.354545
5,972.3
6,1170.4
7,1170.2
8,1126.9
9,1186.4
10,1116.6
11,1184.3
12,1096.2
13,1131
14,1088.15
15,973.4272727
16,1053
17,1017.6
18,1069.8
19,1082.6
20,788.4
