"well","rate"
1,1574.3
2,1336.8
5,1015.3
6,1308.4
7,1359
8,1479.9
10,1026.3
11,1328.4
13,1503.3
14,1413.6
15,1141
16,1292.2
17,1324
18,1239.1
19,1453.3
20,1096.6
