"well","rate"
1,1410.4
2,1484.3
3,1550.3
4,1605.5
5,1077.3
6,1504.1
7,1398
8,1561.4
9,1404.2
10,1427.6
11,1301.7
12,1571.3
13,1502.7
14,1367.4
15,1136.1
16,1504.5
17,1333.54
18,1478
19,1274.9
