"well","rate"
1,1794.6
2,1574.6
3,1194.8
4,1705.5
5,812.4
6,1860.4
7,1609.2
8,1539.3
9,1550.6
10,891.4
11,1873.3
12,1408
13,1454.2
14,1308.9
15,932.6
16,1131.1
17,1256.3
18,1276.5
19,1282.9
20,1045
