"well","rate"
1,1330.9
2,1233.8
3,1134.6
4,1242.8
5,1172
6,1034.1
7,1060.3
8,1192.2
9,1188.2
10,927
11,1225.1
12,1306.6
13,1296.1
14,1114.9
15,961.3
16,1159.2
17,1100.9
18,1231.5
19,1097.7
20,1146.4
