"well","rate"
1,1208
2,1256.1
3,1294.9
4,1262.7
5,915.3
6,1241.3
7,1202.1
8,1259.1
9,1176.2
10,1204.6
11,1401.3
12,1475.5
13,1368.1
14,1339.4
15,1075.8
16,4231.2
17,839.7
18,879
19,2956.7
20,773.1
